Heuristics: TotalHeight Bumpiness NumHoles RowsCleared,Fitness Function = rowsCleared, 30 particles 100 iterations
2018-04-11 00:40:03,2018-04-11 00:40:04,120
2018-04-11 00:40:04,2018-04-11 00:40:04,39
2018-04-11 00:40:04,2018-04-11 00:40:04,22
2018-04-11 00:40:04,2018-04-11 00:40:05,232
2018-04-11 00:40:05,2018-04-11 00:40:08,1093
2018-04-11 00:40:08,2018-04-11 00:40:08,27
2018-04-11 00:40:08,2018-04-11 00:40:08,8
2018-04-11 00:40:08,2018-04-11 00:40:08,39
2018-04-11 00:40:08,2018-04-11 00:40:12,1150
2018-04-11 00:40:12,2018-04-11 00:40:12,48
2018-04-11 00:40:12,2018-04-11 00:40:12,32
2018-04-11 00:40:12,2018-04-11 00:40:12,25
2018-04-11 00:40:12,2018-04-11 00:40:12,14
2018-04-11 00:40:12,2018-04-11 00:40:12,48
2018-04-11 00:40:13,2018-04-11 00:40:16,1410
2018-04-11 00:40:17,2018-04-11 00:40:18,413
2018-04-11 00:40:18,2018-04-11 00:40:18,31
2018-04-11 00:40:18,2018-04-11 00:40:18,22
2018-04-11 00:40:18,2018-04-11 00:40:18,1
2018-04-11 00:40:18,2018-04-11 00:40:18,41
2018-04-11 00:40:18,2018-04-11 00:40:18,34
2018-04-11 00:40:18,2018-04-11 00:40:19,242
2018-04-11 00:40:19,2018-04-11 00:40:19,17
2018-04-11 00:40:19,2018-04-11 00:40:19,18
2018-04-11 00:40:19,2018-04-11 00:40:19,10
2018-04-11 00:40:19,2018-04-11 00:40:20,69
2018-04-11 00:40:20,2018-04-11 00:40:20,117
2018-04-11 00:40:20,2018-04-11 00:40:20,132
2018-04-11 00:40:20,2018-04-11 00:40:21,14
2018-04-11 00:40:21,2018-04-11 00:40:21,7
2018-04-11 00:40:21,2018-04-11 00:40:21,171
2018-04-11 00:40:21,2018-04-11 00:40:24,827
2018-04-11 00:40:24,2018-04-11 00:40:24,227
2018-04-11 00:40:24,2018-04-11 00:40:25,173
2018-04-11 00:40:25,2018-04-11 00:40:26,421
2018-04-11 00:40:26,2018-04-11 00:40:28,486
2018-04-11 00:40:28,2018-04-11 00:40:28,135
2018-04-11 00:40:28,2018-04-11 00:40:31,938
2018-04-11 00:40:31,2018-04-11 00:40:32,328
2018-04-11 00:40:32,2018-04-11 00:40:34,699
2018-04-11 00:40:34,2018-04-11 00:40:34,280
2018-04-11 00:40:34,2018-04-11 00:40:35,101
2018-04-11 00:40:35,2018-04-11 00:40:35,189
2018-04-11 00:40:35,2018-04-11 00:40:36,235
2018-04-11 00:40:36,2018-04-11 00:40:37,325
2018-04-11 00:40:37,2018-04-11 00:40:37,164
2018-04-11 00:40:38,2018-04-11 00:40:38,187
2018-04-11 00:40:38,2018-04-11 00:40:39,186
2018-04-11 00:40:39,2018-04-11 00:40:39,94
2018-04-11 00:40:39,2018-04-11 00:40:39,93
2018-04-11 00:40:39,2018-04-11 00:40:40,436
2018-04-11 00:40:40,2018-04-11 00:40:41,131
2018-04-11 00:40:41,2018-04-11 00:40:41,159
2018-04-11 00:40:41,2018-04-11 00:40:42,144
2018-04-11 00:40:42,2018-04-11 00:40:42,67
2018-04-11 00:40:42,2018-04-11 00:40:48,1418
2018-04-11 00:40:48,2018-04-11 00:40:52,1536
2018-04-11 00:40:52,2018-04-11 00:40:53,105
2018-04-11 00:40:53,2018-04-11 00:40:54,620
2018-04-11 00:40:54,2018-04-11 00:40:55,225
2018-04-11 00:40:55,2018-04-11 00:40:55,79
2018-04-11 00:40:55,2018-04-11 00:40:57,544
2018-04-11 00:40:57,2018-04-11 00:40:58,478
2018-04-11 00:40:58,2018-04-11 00:40:58,116
2018-04-11 00:40:58,2018-04-11 00:40:59,340
2018-04-11 00:40:59,2018-04-11 00:40:59,29
2018-04-11 00:40:59,2018-04-11 00:41:00,400
2018-04-11 00:41:00,2018-04-11 00:41:01,243
2018-04-11 00:41:01,2018-04-11 00:41:01,157
2018-04-11 00:41:01,2018-04-11 00:41:04,1079
2018-04-11 00:41:04,2018-04-11 00:41:04,37
2018-04-11 00:41:04,2018-04-11 00:41:04,52
2018-04-11 00:41:04,2018-04-11 00:41:05,344
2018-04-11 00:41:05,2018-04-11 00:41:08,985
2018-04-11 00:41:08,2018-04-11 00:41:11,1046
2018-04-11 00:41:11,2018-04-11 00:41:13,992
2018-04-11 00:41:13,2018-04-11 00:41:14,194
2018-04-11 00:41:14,2018-04-11 00:41:16,1035
2018-04-11 00:41:16,2018-04-11 00:41:20,1332
2018-04-11 00:41:20,2018-04-11 00:41:20,263
2018-04-11 00:41:20,2018-04-11 00:41:21,160
2018-04-11 00:41:21,2018-04-11 00:41:22,369
2018-04-11 00:41:22,2018-04-11 00:41:23,409
2018-04-11 00:41:23,2018-04-11 00:41:24,452
2018-04-11 00:41:24,2018-04-11 00:41:26,851
2018-04-11 00:41:26,2018-04-11 00:41:28,717
2018-04-11 00:41:28,2018-04-11 00:41:33,2320
2018-04-11 00:41:33,2018-04-11 00:41:34,115
2018-04-11 00:41:34,2018-04-11 00:41:34,71
2018-04-11 00:41:34,2018-04-11 00:41:35,539
2018-04-11 00:41:35,2018-04-11 00:41:37,974
2018-04-11 00:41:37,2018-04-11 00:41:38,311
2018-04-11 00:41:38,2018-04-11 00:41:39,468
2018-04-11 00:41:39,2018-04-11 00:41:40,288
2018-04-11 00:41:40,2018-04-11 00:41:40,69
2018-04-11 00:41:40,2018-04-11 00:41:42,777
2018-04-11 00:41:42,2018-04-11 00:41:44,663
2018-04-11 00:41:44,2018-04-11 00:41:45,349
2018-04-11 00:41:45,2018-04-11 00:41:45,244
2018-04-11 00:41:45,2018-04-11 00:41:46,312
2018-04-11 00:41:46,2018-04-11 00:41:50,1771
2018-04-11 00:41:50,2018-04-11 00:41:53,733
2018-04-11 00:41:53,2018-04-11 00:41:54,223
2018-04-11 00:41:54,2018-04-11 00:41:56,962
2018-04-11 00:41:56,2018-04-11 00:41:59,1305
2018-04-11 00:41:59,2018-04-11 00:42:01,580
2018-04-11 00:42:01,2018-04-11 00:42:01,62
2018-04-11 00:42:01,2018-04-11 00:42:03,829
2018-04-11 00:42:03,2018-04-11 00:42:03,63
2018-04-11 00:42:03,2018-04-11 00:42:04,181
2018-04-11 00:42:04,2018-04-11 00:42:05,547
2018-04-11 00:42:05,2018-04-11 00:42:05,132
2018-04-11 00:42:05,2018-04-11 00:42:05,149
