4 heuristics, new coefficients from the paper, fitness = rowsCleared - avgNumHoles - avgHeight
2018-04-13 3:14:19,2018-04-13 3:14:30,7659
2018-04-13 3:14:30,2018-04-13 3:14:32,828
2018-04-13 3:14:32,2018-04-13 3:14:35,2293
2018-04-13 3:14:35,2018-04-13 3:14:35,248
2018-04-13 3:14:35,2018-04-13 3:14:37,1353
2018-04-13 3:14:37,2018-04-13 3:14:42,3020
2018-04-13 3:14:42,2018-04-13 3:14:42,73
2018-04-13 3:14:42,2018-04-13 3:14:42,67
2018-04-13 3:14:42,2018-04-13 3:14:42,192
2018-04-13 3:14:43,2018-04-13 3:14:46,2097
2018-04-13 3:14:46,2018-04-13 3:14:47,730
2018-04-13 3:14:47,2018-04-13 3:14:47,251
2018-04-13 3:14:47,2018-04-13 3:14:49,1081
2018-04-13 3:14:49,2018-04-13 3:14:52,2573
2018-04-13 3:14:52,2018-04-13 3:14:58,3917
2018-04-13 3:14:58,2018-04-13 3:15:02,2435
2018-04-13 3:15:02,2018-04-13 3:15:03,668
2018-04-13 3:15:03,2018-04-13 3:15:04,444
2018-04-13 3:15:04,2018-04-13 3:15:04,623
2018-04-13 3:15:04,2018-04-13 3:15:08,2208
2018-04-13 3:15:08,2018-04-13 3:15:12,2695
2018-04-13 3:15:12,2018-04-13 3:15:16,2752
2018-04-13 3:15:16,2018-04-13 3:15:16,423
2018-04-13 3:15:16,2018-04-13 3:15:17,732
2018-04-13 3:15:17,2018-04-13 3:15:20,1784
2018-04-13 3:15:20,2018-04-13 3:15:20,330
2018-04-13 3:15:20,2018-04-13 3:15:22,878
2018-04-13 3:15:22,2018-04-13 3:15:25,1999
2018-04-13 3:15:25,2018-04-13 3:15:25,162
2018-04-13 3:15:25,2018-04-13 3:15:25,51
2018-04-13 3:15:25,2018-04-13 3:15:32,4786
2018-04-13 3:15:32,2018-04-13 3:15:33,487
2018-04-13 3:15:33,2018-04-13 3:15:33,179
2018-04-13 3:15:33,2018-04-13 3:15:33,228
2018-04-13 3:15:33,2018-04-13 3:15:34,493
2018-04-13 3:15:34,2018-04-13 3:15:39,3127
2018-04-13 3:15:39,2018-04-13 3:15:39,340
2018-04-13 3:15:39,2018-04-13 3:15:39,113
2018-04-13 3:15:39,2018-04-13 3:15:39,78
2018-04-13 3:15:39,2018-04-13 3:15:40,636
2018-04-13 3:15:40,2018-04-13 3:15:42,1271
2018-04-13 3:15:42,2018-04-13 3:15:44,1350
2018-04-13 3:15:44,2018-04-13 3:15:45,791
2018-04-13 3:15:45,2018-04-13 3:15:53,5173
2018-04-13 3:15:53,2018-04-13 3:15:54,908
2018-04-13 3:15:54,2018-04-13 3:15:55,416
2018-04-13 3:15:55,2018-04-13 3:15:57,1608
2018-04-13 3:15:57,2018-04-13 3:15:57,481
2018-04-13 3:15:57,2018-04-13 3:15:58,138
2018-04-13 3:15:58,2018-04-13 3:15:59,681
2018-04-13 3:15:59,2018-04-13 3:16:03,3223
2018-04-13 3:16:03,2018-04-13 3:16:03,71
2018-04-13 3:16:03,2018-04-13 3:16:04,625
2018-04-13 3:16:04,2018-04-13 3:16:06,1199
2018-04-13 3:16:06,2018-04-13 3:16:07,1015
2018-04-13 3:16:07,2018-04-13 3:16:16,6350
2018-04-13 3:16:16,2018-04-13 3:16:17,784
2018-04-13 3:16:17,2018-04-13 3:16:21,2312
2018-04-13 3:16:21,2018-04-13 3:16:26,3961
2018-04-13 3:16:26,2018-04-13 3:16:28,1605
2018-04-13 3:16:28,2018-04-13 3:16:32,2752
2018-04-13 3:16:32,2018-04-13 3:16:34,827
2018-04-13 3:16:34,2018-04-13 3:16:35,796
2018-04-13 3:16:35,2018-04-13 3:16:35,35
2018-04-13 3:16:35,2018-04-13 3:16:36,1018
2018-04-13 3:16:36,2018-04-13 3:16:39,2147
2018-04-13 3:16:39,2018-04-13 3:16:40,785
2018-04-13 3:16:40,2018-04-13 3:16:41,153
2018-04-13 3:16:41,2018-04-13 3:16:41,155
2018-04-13 3:16:41,2018-04-13 3:16:42,839
2018-04-13 3:16:42,2018-04-13 3:16:47,3660
2018-04-13 3:16:47,2018-04-13 3:16:48,519
2018-04-13 3:16:48,2018-04-13 3:16:49,797
2018-04-13 3:16:49,2018-04-13 3:16:57,5857
2018-04-13 3:16:57,2018-04-13 3:16:58,784
2018-04-13 3:16:58,2018-04-13 3:17:01,1894
2018-04-13 3:17:01,2018-04-13 3:17:01,133
2018-04-13 3:17:01,2018-04-13 3:17:01,0
2018-04-13 3:17:01,2018-04-13 3:17:01,0
2018-04-13 3:17:01,2018-04-13 3:17:02,15
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,277
2018-04-13 3:17:02,2018-04-13 3:17:02,40
2018-04-13 3:17:02,2018-04-13 3:17:02,22
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,1
2018-04-13 3:17:02,2018-04-13 3:17:02,6
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:02,73
2018-04-13 3:17:01,2018-04-13 3:17:02,1127
2018-04-13 3:17:02,2018-04-13 3:17:02,0
2018-04-13 3:17:02,2018-04-13 3:17:03,21
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,2
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,21
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,12
2018-04-13 3:17:03,2018-04-13 3:17:03,0
2018-04-13 3:17:03,2018-04-13 3:17:03,125
2018-04-13 3:17:02,2018-04-13 3:17:04,827
2018-04-13 3:17:03,2018-04-13 3:17:04,452
2018-04-13 3:17:04,2018-04-13 3:17:04,7
2018-04-13 3:17:04,2018-04-13 3:17:04,0
2018-04-13 3:17:04,2018-04-13 3:17:04,8
2018-04-13 3:17:04,2018-04-13 3:17:04,0
2018-04-13 3:17:04,2018-04-13 3:17:04,0
2018-04-13 3:17:04,2018-04-13 3:17:04,0
2018-04-13 3:17:04,2018-04-13 3:17:04,0
2018-04-13 3:17:04,2018-04-13 3:17:04,0
2018-04-13 3:17:04,2018-04-13 3:17:04,282
2018-04-13 3:17:04,2018-04-13 3:17:04,0
2018-04-13 3:17:04,2018-04-13 3:17:05,275
2018-04-13 3:17:05,2018-04-13 3:17:05,0
2018-04-13 3:17:04,2018-04-13 3:17:06,820
2018-04-13 3:17:05,2018-04-13 3:17:06,37
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,1
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,15
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:06,45
2018-04-13 3:17:06,2018-04-13 3:17:06,0
2018-04-13 3:17:06,2018-04-13 3:17:07,15
2018-04-13 3:17:07,2018-04-13 3:17:07,68
2018-04-13 3:17:07,2018-04-13 3:17:07,19
2018-04-13 3:17:07,2018-04-13 3:17:07,3
2018-04-13 3:17:07,2018-04-13 3:17:07,42
2018-04-13 3:17:07,2018-04-13 3:17:07,27
2018-04-13 3:17:07,2018-04-13 3:17:07,0
2018-04-13 3:17:07,2018-04-13 3:17:07,1
2018-04-13 3:17:07,2018-04-13 3:17:07,0
2018-04-13 3:17:07,2018-04-13 3:17:08,40
2018-04-13 3:17:08,2018-04-13 3:17:08,28
2018-04-13 3:17:08,2018-04-13 3:17:08,188
2018-04-13 3:17:08,2018-04-13 3:17:08,46
2018-04-13 3:17:08,2018-04-13 3:17:09,75
2018-04-13 3:17:09,2018-04-13 3:17:09,2
2018-04-13 3:17:09,2018-04-13 3:17:09,122
2018-04-13 3:17:09,2018-04-13 3:17:09,0
2018-04-13 3:17:09,2018-04-13 3:17:09,43
2018-04-13 3:17:09,2018-04-13 3:17:09,3
2018-04-13 3:17:09,2018-04-13 3:17:09,12
2018-04-13 3:17:09,2018-04-13 3:17:09,17
2018-04-13 3:17:09,2018-04-13 3:17:09,10
2018-04-13 3:17:09,2018-04-13 3:17:10,0
2018-04-13 3:17:06,2018-04-13 3:17:10,1454
2018-04-13 3:17:10,2018-04-13 3:17:10,28
2018-04-13 3:17:10,2018-04-13 3:17:10,0
2018-04-13 3:17:10,2018-04-13 3:17:10,0
2018-04-13 3:17:10,2018-04-13 3:17:10,216
2018-04-13 3:17:10,2018-04-13 3:17:10,349
2018-04-13 3:17:10,2018-04-13 3:17:10,267
2018-04-13 3:17:10,2018-04-13 3:17:10,89
2018-04-13 3:17:10,2018-04-13 3:17:10,19
2018-04-13 3:17:10,2018-04-13 3:17:10,16
2018-04-13 3:17:10,2018-04-13 3:17:11,53
2018-04-13 3:17:11,2018-04-13 3:17:11,53
2018-04-13 3:17:11,2018-04-13 3:17:11,39
2018-04-13 3:17:11,2018-04-13 3:17:11,115
2018-04-13 3:17:11,2018-04-13 3:17:12,552
2018-04-13 3:17:12,2018-04-13 3:17:12,106
2018-04-13 3:17:12,2018-04-13 3:17:12,60
2018-04-13 3:17:12,2018-04-13 3:17:12,8
